id	name	class
!!a	a	MagicKnight	No
antimagicfield	Antimagic Field	Monster	No
antimagicfielda	Antimagic Field	Monster	A
antimagicfieldb	Antimagic Field	Monster	B
backstabm	Backstab	Monster	No
backstabma	Backstab	Monster	A
backstabmb	Backstab	Monster	B
barricadem	Barricade	Monster	No
barricadema	Barricade	Monster	A
barricademb	Barricade	Monster	B
barrierm	Barrier	Monster	No
barrierma	Barrier	Monster	A
barriermb	Barrier	Monster	B
bewilder	Bewilder	Monster	No
bewildera	Bewilder	Monster	A
bewilderb	Bewilder	Monster	B
bloodinfection	Blood Infection	Monster	No
bloodinfectiona	Blood Infection	Monster	A
bloodinfectionb	Blood Infection	Monster	B
bloodsucker	Bloodsucker	Monster	No
bloodsuckera	Bloodsucker	Monster	A
bloodsuckerb	Bloodsucker	Monster	B
broodmother	Broodmother	Monster	No
broodmothera	Broodmother	Monster	A
broodmotherb	Broodmother	Monster	B
broodmotherplus	Broodmother	Monster	No
broodmotherplusa	Broodmother	Monster	A
broodmotherplusb	Broodmother	Monster	B
burrow	Burrow	Monster	No
burrowa	Burrow	Monster	A
burrowb	Burrow	Monster	B
carrioneater	Carrioneater	Monster	No
carrioneatera	Carrioneater	Monster	A
carrioneaterb	Carrioneater	Monster	B
cocoon	Cocoon	Monster	No
cocoona	Cocoon	Monster	A
cocoonb	Cocoon	Monster	B
coldbreath	Cold Breath	Monster	No
coldbreatha	Cold Breath	Monster	A
coldbreathb	Cold Breath	Monster	B
corrosivetouch	Corrosive Touch	Monster	No
corrosivetoucha	Corrosive Touch	Monster	A
corrosivetouchb	Corrosive Touch	Monster	B
corrosivetoucheasy	Corrosive Touch	Monster	No
corruptharpoon	Corrupt Harpoons	Monster	No
corruptharpoona	Corrupt Harpoons	Monster	A
corruptharpoonb	Corrupt Harpoons	Monster	B
counterspell	Counterspell	Monster	No
counterspella	Counterspell	Monster	A
counterspellb	Counterspell	Monster	B
crabbait	Crab Bait	Monster	No
crabbaita	Crab Bait	Monster	A
crabbaitb	Crab Bait	Monster	B
crabbaitplus	Crab Bait	Monster	No
culltheweak	Cull the Weak	Monster	No
culltheweaka	Cull the Weak	Monster	A
culltheweakb	Cull the Weak	Monster	A
cycloneslash	Cyclone Slash	Monster	No
cycloneslasha	Cyclone Slash	Monster	A
cycloneslashb	Cyclone Slash	Monster	B
discharge	Discharge	Monster	No
dischargea	Discharge	Monster	A
dischargeb	Discharge	Monster	B
dischargem	Discharge	Monster	No
dualstrikem	Dual Strike	Monster	No
dualstrikema	Dual Strike	Monster	A
dualstrikemb	Dual Strike	Monster	B
earthguard	Earth Guard	Monster	No
earthguarda	Earth Guard	Monster	A
earthguardb	Earth Guard	Monster	B
electricpulse	Electric Pulse	Monster	No
electricpulsea	Electric Pulse	Monster	A
electricpulseb	Electric Pulse	Monster	B
electrocution	Electrocution	Monster	No
electrocutiona	Electrocution	Monster	A
electrocutionb	Electrocution	Monster	B
elementalnova	Elemental Wave	Monster	No
elementalnovaa	Elemental Wave	Monster	A
elementalnovab	Elemental Wave	Monster	B
endlessstorm	Endless Storm	Monster	No
endlessstorma	Endless Storm	Monster	A
featherbarrage	Feather Barrage	Monster	No
featherbarragea	Feather Barrage	Monster	A
featherbarrageb	Feather Barrage	Monster	B
fishingnet	Fishing Net	Monster	No
fishingneta	Fishing Net	Monster	A
fishingnetb	Fishing Net	Monster	B
flamingaura	Flaming Aura	Monster	No
flamingauraa	Flaming Aura	Monster	A
flamingaurab	Flaming Aura	Monster	B
flay	Flay	Monster	No
flaya	Flay	Monster	A
flayb	Flay	Monster	B
flynest	Fly Nest	Monster	No
flynesta	Fly Nest	Monster	A
flynestb	Fly Nest	Monster	B
flynestplus	Fly Nest	Monster	No
fouleruption	Foul Eruption	Monster	No
fouleruptiona	Foul Eruption	Monster	A
fouleruptionb	Foul Eruption	Monster	B
foulremedy	Foul Remedy	Monster	No
foulremedya	Foul Remedy	Monster	A
foulremedyb	Foul Remedy	Monster	B
fungusroot	Fungus Root	Monster	No
fungusroota	Fungus Root	Monster	A
fungusrootb	Fungus Root	Monster	B
fungussurge	Fungus Surge	Monster	No
fungussurgea	Fungus Surge	Monster	A
fungussurgeb	Fungus Surge	Monster	B
getout	Get Out!	Monster	No
getouta	Get Out!	Monster	A
getoutb	Get Out!	Monster	B
geyserm	Geyser	Monster	No
geyserma	Geyser	Monster	A
geysermb	Geyser	Monster	B
hatch	Hatch	Monster	No
hatcha	Hatch	Monster	A
hatchb	Hatch	Monster	B
hatchplus	Hatch	Monster	No
hatchplusa	Hatch	Monster	A
hatchplusb	Hatch	Monster	B
healingserenadem	Healing Serenade	Monster	No
healingserenadema	Healing Serenade	Monster	A
healingserenademb	Healing Serenade	Monster	B
herding	Herding	Monster	No
herdinga	Herding	Monster	A
herdingb	Herding	Monster	B
hydrabite	Hydra Bite	Monster	No
hydrabitea	Hydra Bite	Monster	A
hydrabiteb	Hydra Bite	Monster	B
hydrablood	Hydra Blood	Monster	No
hydrablooda	Hydra Blood	Monster	A
hydrabloodb	Hydra Blood	Monster	B
hypnotism	Hypnotism	Monster	No
hypnotisma	Hypnotism	Monster	A
hypnotismb	Hypnotism	Monster	B
hypnotismeasy	Hypnotism	Monster	No
knifebarrage	Knife Barrage	Monster	No
knifebarragea	Knife Barrage	Monster	A
knifebarrageb	Knife Barrage	Monster	B
lightningbreath	Lightning Breath	Monster	No
lightningbreatha	Lightning Breath	Monster	A
lightningbreathb	Lightning Breath	Monster	B
lightningrod	Lightning Rod	Monster	No
lightningroda	Lightning Rod	Monster	A
lightningrodb	Lightning Rod	Monster	B
magicmushroom	Magic Mushroom	Monster	No
magicmushrooma	Magic Mushroom	Monster	A
magicmushroomb	Magic Mushroom	Monster	B
magicmushroomrare	Magic Mushroom	Monster	Rare
masscounterspell	Mass Counterspell	Monster	No
masscounterspella	Mass Counterspell	Monster	A
masscounterspellb	Mass Counterspell	Monster	B
menacingroar	Menacing Roar	Monster	No
menacingroara	Menacing Roar	Monster	A
menacingroarb	Menacing Roar	Monster	B
mentalshell	Mental Shell	Monster	No
mentalshella	Mental Shell	Monster	A
mentalshellb	Mental Shell	Monster	B
mindbolt	Mind Bolt	Monster	No
mindbolta	Mind Bolt	Monster	A
mindboltb	Mind Bolt	Monster	B
mindtrick	Mind Trick	Monster	No
mindtricka	Mind Trick	Monster	A
mindtrickb	Mind Trick	Monster	B
nephridiumacid	Nephridium Acid	Monster	No
nephridiumacida	Nephridium Acid	Monster	A
nephridiumacidb	Nephridium Acid	Monster	B
noxiousinjection	Noxious Injection	Monster	No
noxiousinjectiona	Noxious Injection	Monster	A
noxiousinjectionb	Noxious Injection	Monster	B
noxiousinjectionplus	Noxious Injection	Monster	No
noxiousinjectionplusa	Noxious Injection	Monster	A
noxiousinjectionplusb	Noxious Injection	Monster	B
numbingstrike	Numbing Strike	Monster	No
numbingstrikea	Numbing Strike	Monster	A
numbingstrikeb	Numbing Strike	Monster	A
oceanicbarrier	Oceanic Barrier	Monster	No
oceanicbarriera	Oceanic Barrier	Monster	A
oceanicbarrierb	Oceanic Barrier	Monster	B
overcharge	Overcharge	Monster	No
overchargea	Overcharge	Monster	A
overchargeb	Overcharge	Monster	B
paralizingvenom	Paralyzing Venom	Monster	No
paralizingvenoma	Paralyzing Venom	Monster	A
paralizingvenomb	Paralyzing Venom	Monster	B
paralizingvenomeasy	Paralyzing Venom	Monster	No
poisonousassault	Poisonous Assault	Monster	No
poisonousassaulta	Poisonous Assault	Monster	A
poisonousassaultb	Poisonous Assault	Monster	B
poisonousbite	Poisonous Bite	Monster	No
poisonousbitea	Poisonous Bite	Monster	A
poisonousbiteb	Poisonous Bite	Monster	B
poisonousbreath	Poisonous Breath	Monster	No
poisonousbreatha	Poisonous Breath	Monster	A
poisonousbreathb	Poisonous Breath	Monster	B
poisonsplash	Poison Splash	Monster	No
poisonsplasha	Poison Splash	Monster	A
poisonsplashb	Poison Splash	Monster	B
prismaticfieldm	Prismatic Field	Monster	No
prismaticfieldma	Prismatic Field	Monster	A
prismaticfieldmb	Prismatic Field	Monster	B
psychicscream	Psychic Scream	Monster	No
psychicscreama	Psychic Scream	Monster	A
psychicscreamb	Psychic Scream	Monster	B
psychicscreamm	Psychic Scream	Monster	No
psychicscreams	Psychic Scream	Monster	No
psychicscreamsa	Psychic Scream	Monster	A
seacurse	Sea Curse	Monster	No
seacursea	Sea Curse	Monster	A
seacurseb	Sea Curse	Monster	B
severarterym	Sever Artery	Monster	No
severarteryma	Sever Artery	Monster	A
severarterymb	Sever Artery	Monster	B
sharpeningcuts	Sharpening Cuts	Monster	No
sharpeningcutsa	Sharpening Cuts	Monster	A
sharpeningcutsb	Sharpening Cuts	Monster	B
sharpenm	Sharpen	Monster	No
sharpenma	Sharpen	Monster	A
sharpenmb	Sharpen	Monster	B
shocknovam	Shock Nova	Monster	No
shocknovama	Shock Nova	Monster	A
shocknovamb	Shock Nova	Monster	B
sonar	Sonar	Monster	No
sonara	Sonar	Monster	A
sonarb	Sonar	Monster	B
sonarh	Sonar	Monster	No
sonarha	Sonar	Monster	A
sonarhb	Sonar	Monster	B
songofquicknessm	Song of Quickness	Monster	No
songofquicknessma	Song of Quickness	Monster	A
songofquicknessmb	Song of Quickness	Monster	B
stimulatingsting	Stimulating Sting	Monster	No
stimulatingstinga	Stimulating Sting	Monster	A
stimulatingstingb	Stimulating Sting	Monster	B
stingerlauncher	Stinger Launcher	Monster	No
stingerlaunchera	Stinger Launcher	Monster	A
stingerlauncherb	Stinger Launcher	Monster	B
stoned	Stoned	Monster	No
stormtrident	Storm Trident	Monster	No
stormtridenta	Storm Trident	Monster	A
stormtridentb	Storm Trident	Monster	A
stormward	Storm Ward	Monster	No
stormwarda	Storm Ward	Monster	A
stormwardb	Storm Ward	Monster	B
submerge	Submerge	Monster	No
submergea	Submerge	Monster	A
submergeb	Submerge	Monster	B
sweetmelodym	Sweet Melody	Monster	No
sweetmelodyma	Sweet Melody	Monster	A
sweetmelodymb	Sweet Melody	Monster	B
swing	Swing	Monster	No
swinga	Swing	Monster	A
swingb	Swing	Monster	B
thorneater	Thorneater	Monster	No
thorneatera	Thorneater	Monster	A
thorneaterb	Thorneater	Monster	B
thorneaterhydra	Thorneater	Monster	No
thorneaterhydraa	Thorneater	Monster	A
thorneaterhydrab	Thorneater	Monster	B
thunderfury	Thunderfury	Monster	No
thunderfurya	Thunderfury	Monster	A
thunderfuryb	Thunderfury	Monster	B
thunderfurym	Thunderfury	Monster	No
thunderfuryma	Thunderfury	Monster	A
thunderfurymb	Thunderfury	Monster	B
typhoon	Typhoon	Monster	No
typhoona	Typhoon	Monster	A
typhoonb	Typhoon	Monster	B
ultraregeneration	Ultra Regeneration	Monster	No
ultraregenerationa	Ultra Regeneration	Monster	A
ultraregenerationb	Ultra Regeneration	Monster	B
vilegash	Vile Gash	Monster	No
vilegasha	Vile Gash	Monster	A
vilegashb	Vile Gash	Monster	B
vilegashplus	Vile Gash	Monster	No
vilegashplusa	Vile Gash	Monster	A
virulentreaction	Virulent Reaction	Monster	No
virulentreactiona	Virulent Reaction	Monster	A
virulentreactionb	Virulent Reaction	Monster	B
viscousshield	Viscous Shield	Monster	No
viscousshielda	Viscous Shield	Monster	A
viscousshieldb	Viscous Shield	Monster	B
vitalizingserenadem	Vitalizing Serenade	Monster	No
vitalizingserenadema	Vitalizing Serenade	Monster	A
vitalizingserenademb	Vitalizing Serenade	Monster	B
watergun	Water Gun	Monster	No
waterguna	Water Gun	Monster	A
watergunb	Water Gun	Monster	B
weakeninggaze	Weakening Gaze	Monster	No
weakeninggazea	Weakening Gaze	Monster	A
weakeninggazeb	Weakening Gaze	Monster	B
web	Web	Monster	No
weba	Web	Monster	A
webb	Web	Monster	B
webweaver	Webweaver	Monster	No
webweavera	Webweaver	Monster	A
webweaverb	Webweaver	Monster	B
wildbite	Wild Bite	Monster	No
wildbitea	Wild Bite	Monster	A
wildbiteb	Wild Bite	Monster	B
wristcutter	Wristcutter	Monster	No
wristcuttera	Wristcutter	Monster	A
wristcutterb	Wristcutter	Monster	B
bloodblob	Blood Blob	Monster	No
bloodblobpet	Blood Blob	Item	No
bloodblobpetrare	Blood Blob	Item	Rare
bloodsplash	Blood Splash	Monster	No
bloodsplashpet	Blood Splash	Special	No
bloodsplashpetrare	Blood Splash	Special	Rare
chaosblob	Chaos Blob	Monster	No
chaosblobpet	Chaos Blob	Item	No
chaosblobpetrare	Chaos Blob	Item	Rare
chaossplash	Chaos Splash	Monster	No
chaossplashpet	Chaos Splash	Special	No
chaossplashpetrare	Chaos Splash	Special	Rare
darkblob	Dark Blob	Monster	No
darkblobpet	Dark Blob	Item	No
darkblobpetrare	Dark Blob	Item	Rare
darksplash	Dark Splash	Monster	No
darksplashpet	Dark Splash	Special	No
darksplashpetrare	Dark Splash	Special	Rare
electricblob	Electric Blob	Monster	No
electricblobpet	Electric Blob	Item	No
electricblobpetrare	Electric Blob	Item	Rare
electricsplash	Electric Splash	Monster	No
electricsplashpet	Electric Splash	Special	No
electricsplashpetrare	Electric Splash	Special	Rare
forestallya	Forest Ally	Monster	No
forestallyb	Forest Ally	Monster	No
forestallyc	Forest Ally	Monster	No
holyblob	Holy Blob	Monster	No
holyblobpet	Holy Blob	Item	No
holyblobpetrare	Holy Blob	Item	Rare
holysplash	Holy Splash	Monster	No
holysplashpet	Holy Splash	Special	No
holysplashpetrare	Holy Splash	Special	Rare
icyblob	Icy Blob	Monster	No
icyblobpet	Icy Blob	Item	No
icyblobpetrare	Icy Blob	Item	Rare
icysplash	Icy Splash	Monster	No
icysplashpet	Icy Splash	Special	No
icysplashpetrare	Icy Splash	Special	Rare
lavablob	Lava Blob	Monster	No
lavablobpet	Lava Blob	Item	No
lavablobpetrare	Lava Blob	Item	Rare
lavasplash	Lava Splash	Monster	No
lavasplashpet	Lava Splash	Special	No
lavasplashpetrare	Lava Splash	Special	Rare
magmablob	Magma Blob	Monster	No
magmabloba	Magma Blob	Monster	A
magmablobb	Magma Blob	Monster	B
magmasplash	Magma Splash	Monster	No
magmasplasha	Magma Splash	Monster	A
magmasplashb	Magma Splash	Monster	B
metalblob	Metal Blob	Monster	No
metalblobpet	Metal Blob	Item	No
metalblobpetrare	Metal Blob	Item	Rare
metalsplash	Metal Splash	Monster	No
metalsplashpet	Metal Splash	Special	No
metalsplashpetrare	Metal Splash	Special	Rare
toxicblob	Toxic Blob	Monster	No
toxicblobpet	Toxic Blob	Item	No
toxicblobpetrare	Toxic Blob	Item	Rare
toxicsplash	Toxic Splash	Monster	No
toxicsplashpet	Toxic Splash	Special	No
toxicsplashpetrare	Toxic Splash	Special	Rare
waterblob	Water Blob	Monster	No
waterblobpet	Water Blob	Item	No
waterblobpetrare	Water Blob	Item	Rare
watersplash	Water Splash	Monster	No
watersplashpet	Water Splash	Special	No
watersplashpetrare	Water Splash	Special	Rare
acidrain	Acid Rain	Monster	No
acidraina	Acid Rain	Monster	A
acrobaticstrikem	Acrobatic Strike	Monster	No
acrobaticstrikema	Acrobatic Strike	Monster	A
acrobaticstrikemb	Acrobatic Strike	Monster	B
baptismm	Baptism	Monster	No
baptismma	Baptism	Monster	A
baptismmb	Baptism	Monster	B
blizzardm	Blizzard	Monster	No
blizzardma	Blizzard	Monster	A
blizzardmb	Blizzard	Monster	B
blizzardmm	Blizzard	Monster	No
blizzardmma	Blizzard	Monster	A
blizzardmmb	Blizzard	Monster	B
bloodforbloodm	Blood For Blood	Monster	No
bloodforbloodma	Blood For Blood	Monster	A
bloodforbloodmb	Blood For Blood	Monster	B
bulwark	Bulwark	Monster	No
bulwarka	Bulwark	Monster	A
bulwarkb	Bulwark	Monster	B
bunnyhopping	Bunny Hopping	Monster	No
bunnyhoppinga	Bunny Hopping	Monster	A
bunnyhoppingb	Bunny Hopping	Monster	B
bunnyhoppingm	Bunny Hopping	Monster	No
bunnyhoppingma	Bunny Hopping	Monster	A
bunnyhoppingmb	Bunny Hopping	Monster	B
camouflagem	Camouflage	Monster	No
camouflagema	Camouflage	Monster	A
camouflagemb	Camouflage	Monster	A
chainhealm	Chain Heal	Monster	No
chainhealma	Chain Heal	Monster	A
chainhealmb	Chain Heal	Monster	B
coldweapons	Cold Weapons	Monster	No
coldweaponsa	Cold Weapons	Monster	A
coldweaponsb	Cold Weapons	Monster	B
crystallization	Crystallization	Monster	No
crystallizationa	Crystallization	Monster	A
crystallizationb	Crystallization	Monster	B
cursedwater	Cursed Water	Monster	No
cursedwatera	Cursed Water	Monster	A
cursedwaterb	Cursed Water	Monster	B
dampenmagic	Dampen Magic	Monster	No
dampenmagica	Dampen Magic	Monster	A
dampenmagicb	Dampen Magic	Monster	B
defrostarcher	Defrost Archer	Monster	No
defrostarchera	Defrost Archer	Monster	A
defrostarcherb	Defrost Archer	Monster	B
defrostarcherm	Defrost Archer	Monster	No
defrostswordman	Defrost Swordman	Monster	No
defrostswordmana	Defrost Swordman	Monster	A
defrostswordmanb	Defrost Swordman	Monster	B
defrostswordmanm	Defrost Swordman	Monster	No
downpour	Downpour	Monster	No
downpoura	Downpour	Monster	A
downpourb	Downpour	Monster	B
dragonbite	Dragon Bite	Monster	No
dragonbitea	Dragon Bite	Monster	A
dragonbiteb	Dragon Bite	Monster	B
dragonroar	Dragon Roar	Monster	No
dragonroara	Dragon Roar	Monster	A
dragonroarb	Dragon Roar	Monster	B
dragonscales	Dragon Scales	Monster	No
dragonscalesa	Dragon Scales	Monster	A
dragonscalesb	Dragon Scales	Monster	B
fanoficicles	Fan of Icicles	Monster	No
fanoficiclesa	Fan of Icicles	Monster	A
fanoficiclesb	Fan of Icicles	Monster	B
fishplosion	Fishplosion	Monster	No
fishplosiona	Fishplosion	Monster	A
fishplosionb	Fishplosion	Monster	A
flankingstrikem	Flanking Strike	Monster	No
flankingstrikema	Flanking Strike	Monster	A
flankingstrikemb	Flanking Strike	Monster	B
flashfreezem	Flash Freeze	Monster	No
flashfreezema	Flash Freeze	Monster	A
flashfreezemb	Flash Freeze	Monster	B
flashfreezemm	Flash Freeze	Monster	No
flashfreezemma	Flash Freeze	Monster	A
flashfreezemmb	Flash Freeze	Monster	B
fluffy	Fluffy	Monster	No
fluffya	Fluffy	Monster	A
fluffyb	Fluffy	Monster	B
freezingslash	Freezing Slash	Monster	No
freezingslasha	Freezing Slash	Monster	A
freezingslashb	Freezing Slash	Monster	B
frenziedcarnage	Frenzied Carnage	Monster	No
frenziedcarnagea	Frenzied Carnage	Monster	A
frenziedcarnageb	Frenzied Carnage	Monster	B
frostaxes	Frost Axes	Monster	No
frostaxesa	Frost Axes	Monster	A
frostaxesb	Frost Axes	Monster	B
frostbreath	Frost Breath	Monster	No
frostbreatha	Frost Breath	Monster	A
frostbreathb	Frost Breath	Monster	B
frostbreathm	Frost Breath	Monster	No
frostbreathma	Frost Breath	Monster	A
frostbreathmb	Frost Breath	Monster	B
frostnovam	Frost Nova	Monster	No
frostnovama	Frost Nova	Monster	A
frostnovamb	Frost Nova	Monster	B
frostvolley	Frost Volley	Monster	No
frostvolleya	Frost Volley	Monster	A
frostvolleyb	Frost Volley	Monster	B
frozenbash	Frozen Bash	Monster	No
frozenbasha	Frozen Bash	Monster	A
frozenbashb	Frozen Bash	Monster	B
frozenpufferfish	Frozen Pufferfish	Monster	No
frozenpufferfisha	Frozen Pufferfish	Monster	A
frozenpufferfishb	Frozen Pufferfish	Monster	B
frozentomahawk	Frozen Tomahawk	Monster	No
frozentomahawka	Frozen Tomahawk	Monster	A
frozentomahawkb	Frozen Tomahawk	Monster	B
givefish	Give Fish	Monster	No
givefisha	Give Fish	Monster	A
givefishb	Give Fish	Monster	B
hailstorm	Hailstorm	Monster	No
hailstorma	Hailstorm	Monster	A
hailstormb	Hailstorm	Monster	B
healingrainm	Healing Rain	Monster	No
healingrainma	Healing Rain	Monster	A
healingrainmb	Healing Rain	Monster	B
icebarrierm	Ice Barrier	Monster	No
icebarrierma	Ice Barrier	Monster	A
icebarriermb	Ice Barrier	Monster	B
iceclaws	Ice Claws	Monster	No
iceclawsa	Ice Claws	Monster	A
iceclawsb	Ice Claws	Monster	B
icefall	Ice Fall	Monster	No
icefalla	Ice Fall	Monster	A
icefallb	Ice Fall	Monster	B
icefallh	Ice Fall	Monster	No
icefallha	Ice Fall	Monster	A
icefallhb	Ice Fall	Monster	B
iceprison	Ice Prison	Monster	No
iceprisona	Ice Prison	Monster	A
iceprisonb	Ice Prison	Monster	B
iceshotm	Ice Shot	Monster	No
iceshotma	Ice Shot	Monster	A
iceshotmb	Ice Shot	Monster	B
iciclelauncher	Icicle Launcher	Monster	No
iciclelaunchera	Icicle Launcher	Monster	A
iciclelauncherb	Icicle Launcher	Monster	B
iciclelaunchereasy	Icicle Launcher	Monster	No
iciclelaunchereasya	Icicle Launcher	Monster	A
iciclelaunchereasyb	Icicle Launcher	Monster	B
icyheadbutt	Icy Headbutt	Monster	No
icyheadbutta	Icy Headbutt	Monster	A
icyheadbuttb	Icy Headbutt	Monster	B
impalem	Impale	Monster	No
impalema	Impale	Monster	A
impalemb	Impale	Monster	B
impalingrootm	Impaling Root	Monster	No
impalingrootma	Impaling Root	Monster	A
impalingrootmb	Impaling Root	Monster	B
killerbite	Killer Bite	Monster	No
killerbitea	Killer Bite	Monster	A
killerbiteb	Killer Bite	Monster	B
magicdevour	Magic Devour	Monster	No
magicdevoura	Magic Devour	Monster	A
magicdevourb	Magic Devour	Monster	B
massdilute	Mass Dilute	Monster	No
massdilutea	Mass Dilute	Monster	A
massdiluteb	Mass Dilute	Monster	B
molebuster	Mole Buster	Monster	No
molebustera	Mole Buster	Monster	A
molebusterb	Mole Buster	Monster	B
mysticalice	Mystical Ice	Monster	No
mysticalicea	Mystical Ice	Monster	A
mysticaliceb	Mystical Ice	Monster	B
overbearingroar	Overbearing Roar	Monster	No
overbearingroara	Overbearing Roar	Monster	A
overbearingroarb	Overbearing Roar	Monster	B
owlblessingm	Owl Blessing	Monster	No
owlblessingma	Owl Blessing	Monster	A
owlblessingmb	Owl Blessing	Monster	B
owlscreech	Owl Screech	Monster	No
owlscreecha	Owl Screech	Monster	A
owlscreechb	Owl Screech	Monster	B
palisade	Palisade	Monster	No
palisadea	Palisade	Monster	A
palisadeb	Palisade	Monster	B
parrym	Parry	Monster	No
parryma	Parry	Monster	A
parrymb	Parry	Monster	B
patience	Patience	Monster	No
patiencea	Patience	Monster	A
patienceb	Patience	Monster	B
perniciousclaw	Pernicious Claw	Monster	No
perniciousclawa	Pernicious Claw	Monster	A
perniciousclawb	Pernicious Claw	Monster	B
rabidbite	Rabid Bite	Monster	No
rabidbitea	Rabid Bite	Monster	A
rabidbiteb	Rabid Bite	Monster	B
rapidmultiplication	Rapid Multiplication	Monster	No
rapidmultiplicationa	Rapid Multiplication	Monster	A
rapidmultiplicationb	Rapid Multiplication	Monster	B
rapidmultiplicationm	Rapid Multiplication	Monster	No
rayoffrostm	Ray of Frost	Monster	No
rayoffrostma	Ray of Frost	Monster	A
rayoffrostmb	Ray of Frost	Monster	B
regrowhead	Regrow Head	Monster	No
regrowheada	Regrow Head	Monster	A
revealingstrike	Revealing Strike	Monster	No
revealingstrikea	Revealing Strike	Monster	A
revealingstrikeb	Revealing Strike	Monster	B
sentryalarm	Sentry Alarm	Monster	No
sentryalarma	Sentry Alarm	Monster	A
sentryalarmb	Sentry Alarm	Monster	B
shatterm	Shatter	Monster	No
shatterma	Shatter	Monster	A
shattermb	Shatter	Monster	B
shieldslammm	Shield Slam	Monster	No
shieldslammma	Shield Slam	Monster	A
shieldslammmb	Shield Slam	Monster	B
snatchingclaw	Snatching Claw	Monster	No
snatchingclawa	Snatching Claw	Monster	A
snatchingclawb	Snatching Claw	Monster	B
soothingwaters	Soothing Waters	Monster	No
soothingwatersa	Soothing Waters	Monster	A
